"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Le'Veon Bell",9800,"Final",7.700,"PIT"
"RB","David Johnson",9400,"Final",14.100,"ARI"
"WR","Antonio Brown",8800,"Final",32.200,"PIT"
"WR","Julio Jones",8500,"Final",10.600,"ATL"
"WR","Odell Beckham Jr.",8300,"Final",0,"NYG"
"RB","LeSean McCoy",8200,"Final",23.900,"BUF"
"RB","Ezekiel Elliott",8100,"Final",22.000,"DAL"
"WR","A.J. Green",8000,"Final",12.400,"CIN"
"WR","Mike Evans",7800,"Postponed",0,"TB"
"WR","Jordy Nelson",7600,"Final",20.900,"GB"
"WR","Dez Bryant",7500,"Final",6.300,"DAL"
"RB","DeMarco Murray",7400,"Final",8.000,"TEN"
"WR","Michael Thomas",7400,"Final",9.500,"NO"
"QB","Ben Roethlisberger",7300,"Final",16.720,"PIT"
"WR","Amari Cooper",7200,"Final",17.200,"OAK"
"QB","Drew Brees",7200,"Final",15.640,"NO"
"QB","Cam Newton",7100,"Final",14.140,"CAR"
"RB","Devonta Freeman",7000,"Final",11.900,"ATL"
"QB","Aaron Rodgers",7000,"Final",20.540,"GB"
"QB","Matt Ryan",6900,"Final",20.940,"ATL"
"WR","T.Y. Hilton",6900,"Final",7.700,"IND"
"QB","Russell Wilson",6900,"Final",9.320,"SEA"
"QB","Marcus Mariota",6800,"Final",18.840,"TEN"
"QB","Derek Carr",6700,"Final",18.680,"OAK"
"WR","Doug Baldwin",6700,"Final",10.000,"SEA"
"QB","Jameis Winston",6600,"Postponed",0,"TB"
"RB","Melvin Gordon",6600,"Final",18.900,"LAC"
"WR","Golden Tate",6500,"Final",24.400,"DET"
"RB","Jay Ajayi",6500,"Postponed",0,"MIA"
"QB","Andrew Luck",6500,"Final",0,"IND"
"QB","Kirk Cousins",6400,"Final",13.600,"WAS"
"RB","Jordan Howard",6300,"Final",15.600,"CHI"
"QB","Dak Prescott",6300,"Final",17.120,"DAL"
"WR","Demaryius Thomas",6300,"Final",11.700,"DEN"
"QB","Tyrod Taylor",6200,"Final",19.760,"BUF"
"WR","Sammy Watkins",6200,"Final",10.800,"LAR"
"TE","Greg Olsen",6200,"Final",3.800,"CAR"
"QB","Matthew Stafford",6100,"Final",28.080,"DET"
"WR","Terrelle Pryor Sr.",6100,"Final",12.600,"WAS"
